define;sd
HAVE_UINT64;1
LOCK_REC_NOT_GAP;2
VSTRT;1
VARCHAR_WITH_DIFF_ENDSPACE_ARE_DIFFERENT_FOR_UNIQUE;13
ULLONG_MAX;2
_M_X64;16
EXTRA_DEBUG_THREADS;1
HAVE_CHARSET_hp8;1
SMALL_MEDIUM;5
HAVE_PSI_TABLE_INTERFACE;2
PSI_IDLE_CALL;1
_GNU_SOURCE;6
__amiga__;1
make_atomic_store_body;1
FAR;3
HAVE_LIBPTHREAD;1
EWOULDBLOCK;4
SIZEOF_OFF_T;7
NDB_WITH_NEW_MRR_INTERFACE;1
va_copy;1
__STDC_VERSION__;26
SEEK_SET;1
DOXYGEN_FIX;2
HAVE_PERROR;1
FN_LIBCHAR;3
HAVE_NBTOOL_CONFIG_H;5
HAVE_GETEUID;1
HRT_USE_GETTIMEOFDAY;5
HAVE_SYS_IOCTL_H;1
HAVE_STRDUP;1
_ARCH_PPC;2
SIGBUS;1
DISABLE_PSI_MUTEX;1
HAVE___PROGNAME;1
TOSTOP;1
VPAGE;3
FFDLY;1
_CUSTOMCONFIG_;1
_myisam_h;1
