define;sd
xmlTextReaderSchemaValidate;1
xmlTextWriterWriteFormatElement;1
xmlUCSIsGreekandCoptic;1
xmlRelaxNGGetValidErrors;1
xmlUTF8Strlen;1
xmlXPathAddValues;1
LIBXML_SCHEMAS_ENABLED;229
xmlCleanupThreads;1
xmlNewIOInputStream;1
xmlExpCtxtNbNodes;1
xmlNewTextLen;1
xmlSchemaValidateFacet;1
xmlXPathFunctionLookupNS;1
xmlXPathIsInf;1
xmlSAX2AttributeDecl;1
HAVE_ISASCII;1
TRIO_INT32_T;2
xmlUCSIsCJKUnifiedIdeographs;1
xmlDOMWrapAdoptNode;1
xmlValidateName;1
MERGED_MODULES;2
xmlTextReaderConstString;1
xmlSchemaValidateFile;1
xmlCopyDocElementContent;1
xmlAddNextSibling;1
xmlUCSIsSupplementalArrowsA;1
xmlUCSIsSupplementalArrowsB;1
xmlReallocLoc;1
DEBUG;12
xmlXPathCtxtCompile;1
xmlXPathFalseFunction;1
S_IFMT;3
xmlAutomataNewCounterTrans;1
xmlTextReaderHasValue;1
xmlRelaxNGDumpTree;1
xmlExpStringDerive;1
xmlRegexpPrint;1
xmlNewValidCtxt;1
xmlURIEscapeStr;1
bottom_debugXML;36
xmlXPathCountFunction;1
xmlRelaxNGParse;1
DEBUG_CALLBACKS;1
__unix;10
xmlTextReaderNext;1
xmlShellPrintXPathResult;1
xmlUCSIsCatLu;1
xmlUCSIsCatLt;1
xmlUCSIsCatLo;1
xmlIsPubidChar;1
xmlUCSIsCatLm;1
xmlUCSIsCatLl;1
HAVE_SHLLOAD;2
xmlLastElementChild;1
xmlXPathWrapString;1
xmlNewDocProp;1
HAVE_SYS_STAT_H;9
xmlDOMWrapFreeCtxt;1
WITH_TIM_SORT;7
xmlLoadACatalog;1
XML_XML_DEFAULT_CATALOG;2
xmlBufEnd;1
xmlRegexpExec;1
xmlUCSIsCatPe;1
xmlParserFindNodeInfoIndex;1
xmlByteConsumed;1
xmlHasProp;1
xmlXPathNamespaceURIFunction;1
xmlValidBuildContentModel;1
bottom_xmlwriter;82
xmlSaveToBuffer;1
xmlXIncludeNewContext;1
LIBXML_XPATH_ENABLED;292
